pic,name,x,y,w,h
,alien_app4,553,551,506,398
,alien_reason,623,81,96,77
,app4_background,640,440,1280,880
,chip_reason,261,380,220,236
,electrical_comp2,111,85,53,85
,electrical_comp4,226,79,105,72
,electrical_comp8,346,85,61,95
,electrical_comp10,454,85,47,72
,electrical_comp12,535,90,67,86
,light_reason,914,90,177,183
,plant_app4,239,632,214,211
,plant_reason,744,85,145,108
,processes2,116,246,147,117
,processes3,295,252,204,130
,processes4,640,252,208,134
,processes5,806,246,215,138
,processes6,454,235,215,138
,tech_app4,992,572,413,356
,tech_reason,1080,315,195,246
,technologies_reason,1106,105,207,214
,,,,,
,,,,,
,,,,,
